time,meterusage
2019-01-12 05:45:00,49.4
2019-01-12 06:00:00,48.58
2019-01-12 06:15:00,48.35
2019-01-12 06:30:00,50.86
2019-01-12 06:45:00,53.66
2019-01-12 07:00:00,54.58
2019-01-12 07:15:00,53.41
2019-01-12 07:30:00,53.48
2019-01-12 07:45:00,54.24
2019-01-12 08:00:00,53.22
2019-01-12 08:15:00,52.66
2019-01-12 08:30:00,53.8
2019-01-12 08:45:00,54.02
2019-01-12 09:00:00,53.33
2019-01-12 09:15:00,53.31
2019-01-12 09:30:00,53.63
2019-01-12 09:45:00,53.19
2019-01-12 10:00:00,53.25
2019-01-12 10:15:00,53.73
2019-01-12 10:30:00,53.86
2019-01-12 10:45:00,53.39
2019-01-12 11:00:00,52.94
2019-01-12 11:15:00,54.11
2019-01-12 11:30:00,55.03
2019-01-12 11:45:00,54.08
2019-01-12 12:00:00,52.64
2019-01-12 12:15:00,53.29
2019-01-12 12:30:00,54.22
2019-01-12 12:45:00,53.67
2019-01-12 13:00:00,54.39
2019-01-12 13:15:00,54.13
2019-01-12 13:30:00,53.45
2019-01-12 13:45:00,52.97
2019-01-12 14:00:00,53.23
2019-01-12 14:15:00,53.55
2019-01-12 14:30:00,53.43
2019-01-12 14:45:00,52.5
2019-01-12 15:00:00,53.5
2019-01-12 15:15:00,54.47
2019-01-12 15:30:00,54.41
2019-01-12 15:45:00,53.6
2019-01-12 16:00:00,53.18
2019-01-12 16:15:00,53.82
2019-01-12 16:30:00,53.79
2019-01-12 16:45:00,53.49
2019-01-12 17:00:00,53.14
2019-01-12 17:15:00,53.68
2019-01-12 17:30:00,54.12
2019-01-12 17:45:00,53.02
2019-01-12 18:00:00,52.98
2019-01-12 18:15:00,54.24
2019-01-12 18:30:00,54.34
2019-01-12 18:45:00,53.15
2019-01-12 19:00:00,52.54
2019-01-12 19:15:00,53.63
2019-01-12 19:30:00,54.92
2019-01-12 19:45:00,51.46
2019-01-12 20:00:00,48.3
2019-01-12 20:15:00,49.29
2019-01-12 20:30:00,49.59
2019-01-12 20:45:00,49.2
2019-01-12 21:00:00,49.05
2019-01-12 21:15:00,49.02
2019-01-12 21:30:00,49.5
2019-01-12 21:45:00,49.43
2019-01-12 22:00:00,48.45
2019-01-12 22:15:00,48.69
2019-01-12 22:30:00,49.87
2019-01-12 22:45:00,49.57
2019-01-12 23:00:00,48.76
2019-01-12 23:15:00,48.61
2019-01-12 23:30:00,49.36
2019-01-12 23:45:00,49.35
2019-01-13 00:00:00,49.34
2019-01-13 00:15:00,48.99
2019-01-13 00:30:00,49.24
2019-01-13 00:45:00,49.89
2019-01-13 01:00:00,49.85
2019-01-13 01:15:00,48.44
2019-01-13 01:30:00,48.85
2019-01-13 01:45:00,49.56
2019-01-13 02:00:00,49.52
2019-01-13 02:15:00,49.25
2019-01-13 02:30:00,48.83
2019-01-13 02:45:00,50.44
2019-01-13 03:00:00,50.57
2019-01-13 03:15:00,49.57
2019-01-13 03:30:00,48.69
2019-01-13 03:45:00,48.48
2019-01-13 04:00:00,49.32
2019-01-13 04:15:00,49.71
2019-01-13 04:30:00,48.65
2019-01-13 04:45:00,49.41
2019-01-13 05:00:00,49.53
2019-01-13 05:15:00,48.97
2019-01-13 05:30:00,48.64
2019-01-13 05:45:00,48.41
2019-01-13 06:00:00,49.21
2019-01-13 06:15:00,49.42
2019-01-13 06:30:00,50.22
